Libelle_Departement,Libelle_Commune,Nombre_Etablissements,Population_Totale,Ratio_100k
ALPES DE HAUTE PROVENCE,04400 ENCHASTRAYES,1,399,250.63
ALPES DE HAUTE PROVENCE,04320 ENTREVAUX,5,811,616.52
ALPES DE HAUTE PROVENCE,04400 FAUCON DE BARCELONNETTE,1,308,324.68
ALPES DE HAUTE PROVENCE,04300 FORCALQUIER,18,5238,343.64
ALPES DE HAUTE PROVENCE,04800 GREOUX LES BAINS,6,3127,191.88
ALPES DE HAUTE PROVENCE,04850 JAUSIERS,4,1169,342.17
ALPES DE HAUTE PROVENCE,04160 L ESCALE,3,1433,209.35
ALPES DE HAUTE PROVENCE,04700 LA BRILLANNE,2,1130,176.99
ALPES DE HAUTE PROVENCE,04250 LA MOTTE DU CAIRE,3,568,528.17
ALPES DE HAUTE PROVENCE,04420 LE BRUSQUET,1,996,100.4
ALPES DE HAUTE PROVENCE,04190 LES MEES,5,4053,123.37
ALPES DE HAUTE PROVENCE,04350 MALIJAI,4,2054,194.74
ALPES DE HAUTE PROVENCE,04510 MALLEMOISSON,1,994,100.6
ALPES DE HAUTE PROVENCE,04300 MANE,2,1416,141.24
ALPES DE HAUTE PROVENCE,04100 MANOSQUE,65,23424,277.49
ALPES DE HAUTE PROVENCE,04270 MEZEL,1,629,158.98
ALPES DE HAUTE PROVENCE,04510 MIRABEAU,1,521,191.94
ALPES DE HAUTE PROVENCE,04200 MISON,1,1143,87.49
ALPES DE HAUTE PROVENCE,04600 MONTFORT,1,337,296.74
ALPES DE HAUTE PROVENCE,04110 MONTFURON,1,229,436.68
ALPES DE HAUTE PROVENCE,04360 MOUSTIERS STE MARIE,1,698,143.27
ALPES DE HAUTE PROVENCE,04200 NOYERS SUR JABRON,1,537,186.22
ALPES DE HAUTE PROVENCE,04700 ORAISON,11,6157,178.66
ALPES DE HAUTE PROVENCE,04200 PEIPIN,2,1532,130.55
ALPES DE HAUTE PROVENCE,04310 PEYRUIS,5,2841,175.99
ALPES DE HAUTE PROVENCE,04860 PIERREVERT,2,4053,49.35
ALPES DE HAUTE PROVENCE,04410 PUIMOISSON,1,675,148.15
ALPES DE HAUTE PROVENCE,04150 REVEST DU BION,3,499,601.2
ALPES DE HAUTE PROVENCE,04500 RIEZ,6,1664,360.58
ALPES DE HAUTE PROVENCE,04120 ROUGON,1,120,833.33
ALPES DE HAUTE PROVENCE,04170 ST ANDRE LES ALPES,4,1053,379.87
ALPES DE HAUTE PROVENCE,04230 ST ETIENNE LES ORGUES,3,1325,226.42
ALPES DE HAUTE PROVENCE,04400 ST PONS,1,626,159.74
ALPES DE HAUTE PROVENCE,04220 STE TULLE,7,3617,193.53
ALPES DE HAUTE PROVENCE,04140 SEYNE LES ALPES,6,1395,430.11
ALPES DE HAUTE PROVENCE,04200 SISTERON,22,8020,274.31
ALPES DE HAUTE PROVENCE,04380 THOARD,1,759,131.75
ALPES DE HAUTE PROVENCE,04250 TURRIERS,2,353,566.57
ALPES DE HAUTE PROVENCE,04340 UBAYE SERRE PONCON,1,816,122.55
ALPES DE HAUTE PROVENCE,04400 UVERNET FOURS,1,514,194.55
ALPES DE HAUTE PROVENCE,04210 VALENSOLE,5,3215,155.52
ALPES DE HAUTE PROVENCE,04180 VILLENEUVE,1,4471,22.37
ALPES DE HAUTE PROVENCE,04290 VOLONNE,2,1670,119.76
ALPES DE HAUTE PROVENCE,04130 VOLX,5,3302,151.42
ALPES MARITIMES,06600 ANTIBES,122,77618,157.18
ALPES MARITIMES,06260 ASCROS,3,180,1666.67
ALPES MARITIMES,06790 ASPREMONT,1,2356,42.44
ALPES MARITIMES,06810 AURIBEAU SUR SIAGNE,2,3418,58.51
ALPES MARITIMES,06310 BEAULIEU SUR MER,9,3869,232.62
ALPES MARITIMES,06240 BEAUSOLEIL,20,12558,159.26
ALPES MARITIMES,06390 BENDEJUN,2,968,206.61
ALPES MARITIMES,06410 BIOT,18,10518,171.14
ALPES MARITIMES,06440 BLAUSASC,2,1679,119.12
ALPES MARITIMES,06540 BREIL SUR ROYA,10,2340,427.35
ALPES MARITIMES,06530 CABRIS,2,1449,138.03
ALPES MARITIMES,06800 CAGNES SUR MER,69,53303,129.45
ALPES MARITIMES,06150 CANNES,145,74820,193.8
ALPES MARITIMES,06151 CANNES LA BOCCA CEDEX,8,74820,10.69
ALPES MARITIMES,06340 CANTARON,4,1290,310.08
ALPES MARITIMES,06320 CAP D AIL,3,4566,65.7
ALPES MARITIMES,06510 CARROS,19,13867,137.02
ALPES MARITIMES,06740 CHATEAUNEUF GRASSE,14,3850,363.64
ALPES MARITIMES,06670 COLOMARS,4,3549,112.71
ALPES MARITIMES,06390 CONTES,15,7812,192.01
ALPES MARITIMES,06340 DRAP,14,5318,263.26
ALPES MARITIMES,06360 EZE,1,2191,45.64
ALPES MARITIMES,06510 GATTIERES,5,4391,113.87
ALPES MARITIMES,06830 GILETTE,2,1635,122.32
ALPES MARITIMES,06500 GORBIO,2,1590,125.79
ALPES MARITIMES,06130 GRASSE,98,49508,197.95
ALPES MARITIMES,06620 GREOLIERES,1,613,163.13
ALPES MARITIMES,06470 GUILLAUMES,3,593,505.9
ALPES MARITIMES,06420 ISOLA,1,665,150.38
ALPES MARITIMES,06440 L ESCARENE,11,2579,426.52
ALPES MARITIMES,06430 LA BRIGUE,2,754,265.25
ALPES MARITIMES,06480 LA COLLE SUR LOUP,5,8292,60.3
ALPES MARITIMES,06610 LA GAUDE,11,7305,150.58
ALPES MARITIMES,06550 LA ROQUETTE SUR SIAGNE,7,5654,123.81
ALPES MARITIMES,06420 LA TOUR,1,546,183.15
ALPES MARITIMES,06340 LA TRINITE,21,10554,198.98
ALPES MARITIMES,06320 LA TURBIE,2,3070,65.15
ALPES MARITIMES,06450 LANTOSQUE,6,1206,497.51
ALPES MARITIMES,06620 LE BAR SUR LOUP,2,3021,66.2
ALPES MARITIMES,06510 LE BROC,1,1454,68.78
ALPES MARITIMES,06110 LE CANNET,59,40570,145.43
